genome	domain	phylum	class	order	family	genus	species	completeness	contamination	mag_size
EHA05415_bin.140	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	86.47	1.43	1429968
EHA05415_bin.264	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WRLA01	g__WRLA01	s__	100	0	1582953
EHA05415_bin.67	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__QAMH01	g__W2P13-069	s__	67.62	0.34	1210384
EHA05415_bin.328	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecisoma	s__	79.5	5.09	1446128
EHA05415_bin.433	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	76.62	2.23	1805373
EHA05415_bin.183	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UMGS1470	s__	98.29	0.14	701548
EHA05415_bin.462	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__	89.77	3.26	1064367
EHA05415_bin.383	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__JAKSVV01	g__JAKSVV01	s__	66.29	0.15	1117531
EHA05415_bin.156	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RGIG6720	s__	89.11	0	1056824
EHA05415_bin.213	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-917	g__RGIG4097	s__	97.28	0.36	806673
EHA05415_bin.188	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG591	s__	85.49	3.04	1115725
EHA05415_bin.340	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	99.09	0.04	1859800
EHA05415_bin.21	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__	81.77	4.88	1116274
EHA05415_bin.256	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__HGM13006	s__	83.19	1.18	1793099
EHA05415_bin.211	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__KLE1615	s__	68.04	0.08	711716
EHA05415_bin.483	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	84.5	0.46	861448
EHA05415_bin.155	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__UBA1234	g__	s__	76.34	0.11	1433388
EHA05415_bin.430	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__	s__	72.01	3.92	1950498
EHA05415_bin.244	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	97.2	0.81	2111495
EHA05415_bin.466	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__	54.6	0.33	1772930
EHA05415_bin.71	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__	84.22	0.1	2217548
EHA05415_bin.12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WCHB1-69	g__F23-D06	s__	85.65	0.41	1737290
EHA05415_bin.41	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__SZUA-448	s__	56.37	4.72	911517
EHA05415_bin.453	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__SFMI01	s__	100	5.53	2523251
EHA05415_bin.368	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__SIG701	s__	71.91	2.05	1986422
EHA05415_bin.343	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__SIG714	s__	77.46	0.98	2389796
EHA05415_bin.55	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1212	f__SIG427	g__SIG427	s__	61.4	1.33	2070044
EHA05415_bin.334	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__Caccovivens	s__	93.82	0	1586158
EHA05415_bin.278	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1081	s__	86.64	3.74	2895684
EHA05415_bin.110	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__UBA1783	s__	93.73	0.82	1777000
EHA05415_bin.258	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	88.88	1.02	2047589
EHA05415_bin.189	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__	s__	91.86	7.41	1339535
EHA05415_bin.206	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS902	s__	78.92	1.14	1223513
EHA05415_bin.74	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	88.7	2.41	4108519
EHA05415_bin.304	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibrobacter	s__	56.21	0.14	1070959
EHA05415_bin.202	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__F23-B02	s__	75.12	2.52	1808447
EHA05415_bin.249	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__	96.13	0.11	1751532
EHA05415_bin.54	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__UBA5297	g__UBA1203	s__	93.51	1.97	3920668
EHA05415_bin.107	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	82.99	1.1	2300517
EHA05415_bin.369	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	53.15	3.66	2227266
EHA05415_bin.89	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-582	s__	92.46	1.45	1772040
EHA05415_bin.165	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA5905	s__	96.26	1.47	1596724
EHA05415_bin.96	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__UBA1224	s__	96.8	2.23	1242611
EHA05415_bin.314	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA1774	s__	91.38	3	4713131
EHA05415_bin.38	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Anaerovibrio	s__	68.26	1.87	1778658
EHA05415_bin.248	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__	88.32	2.32	1185956
EHA05415_bin.177	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	96.98	0.43	1473655
EHA05415_bin.385	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__DXYV01	s__	53.04	5.85	1086113
EHA05415_bin.311	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__UBA1407	f__UBA1407	g__	s__	100	0.27	1158522
EHA05415_bin.404	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	57.33	0.08	781811
EHA05415_bin.351	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__CAJOLV01	s__	85.76	0.92	1626944
EHA05415_bin.308	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__RUG563	s__	51.13	2.34	2248493
EHA05415_bin.158	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UBA11490	s__	72.87	0.7	914564
EHA05415_bin.196	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	72.23	1.34	1591499
EHA05415_bin.10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__	s__	85.81	0.04	1979322
EHA05415_bin.363	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Cellulosilyticum	s__	92.93	4.85	4059289
EHA05415_bin.262	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__UMGS1384	g__CALWJF01	s__	64.05	0.64	1652660
EHA05415_bin.269	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	98.71	0.02	1477078
EHA05415_bin.288	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__CAKOMG01	s__	75.55	0.45	1477525
EHA05415_bin.171	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__	g__	s__	91.43	0.58	3172663
EHA05415_bin.33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Pumilibacteraceae	g__RUG12826	s__	83.3	2.65	1502306
EHA05415_bin.182	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Nanosyncoccaceae	g__Nanosyncoccus	s__	88.9	2.07	2742890
EHA05415_bin.15	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__RUG14515	s__	97.1	0.95	2356317
EHA05415_bin.374	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__UBA4716	s__	52.08	5.16	905053
EHA05415_bin.159	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-177	s__	87.39	0.34	1051400
EHA05415_bin.80	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__RGIG4607	s__	52.66	0.45	1033666
EHA05415_bin.432	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UBA1259	s__	97.37	1.09	1563078
EHA05415_bin.295	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__DUOU01	s__	95.09	0.08	1280480
EHA05415_bin.117	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RGIG10190	s__	87.13	0.36	2586555
EHA05415_bin.285	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA6984	s__	93.34	0.01	1571681
EHA05415_bin.354	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	97.16	0	2034160
EHA05415_bin.289	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA4181	g__	s__	97.17	4.81	2395659
EHA05415_bin.4	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__CADAEX01	f__CADAEX01	g__	s__	62.65	0.57	893481
EHA05415_bin.456	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UMGS1908	s__	83.56	1.05	1758502
EHA05415_bin.440	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__	86.92	0.02	1408474
EHA05415_bin.476	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	64.19	0.98	825090
EHA05415_bin.360	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA6857	s__	83.18	0.02	1732729
EHA05415_bin.151	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__	89.43	0.26	1530131
EHA05415_bin.444	d__Bacteria	p__UBP6	c__UBA1177	o__UBA1177	f__UBA1177	g__UBA1177	s__	82.97	0.37	2113308
EHA05415_bin.180	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__UBA1067	s__	50.91	1.5	1160037
EHA05415_bin.379	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__RUG14219	s__	75.18	1.87	1368590
EHA05415_bin.460	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA4951	s__	59.92	2.35	968339
EHA05415_bin.465	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__	50.58	7.44	1442995
EHA05415_bin.233	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__UBA1407	f__UBA1407	g__Tb-RUG-53	s__	73.56	0.04	1580523
EHA05415_bin.474	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-302	s__	55.62	5.64	1293542
EHA05415_bin.345	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	94.55	1.55	2482666
EHA05415_bin.219	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RGIG8767	s__	92.43	0.26	1255546
EHA05415_bin.81	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3305	s__	87.12	1.18	1774860
EHA05415_bin.454	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAJGDV01	s__	67.87	0.23	1020185
EHA05415_bin.93	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__	100	0.7	1253199
EHA05415_bin.65	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__SIG42	s__	64.42	1.88	1259807
EHA05415_bin.443	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RUG11142	s__	98.54	1.16	2930745
EHA05415_bin.172	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__CAJOLV01	s__	74.72	0.46	2605714
EHA05415_bin.70	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__UBA1407	f__UBA1407	g__RGIG3456	s__	76.95	2.22	1616722
EHA05415_bin.51	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG12783	s__	57.21	3.73	1062673
EHA05415_bin.393	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__RGIG8164	s__	56.86	0.85	1684900
EHA05415_bin.164	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__RUG472	s__	73.5	0.23	2226030
EHA05415_bin.300	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__RGIG6429	s__	92.33	1.19	2346174
EHA05415_bin.194	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__	73.43	0.04	788778
EHA05415_bin.58	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WCHB1-69	g__JAFTCA01	s__	61.21	7.61	1546565
EHA05415_bin.448	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__Flemingibacterium	s__	90.85	0.9	2495438
EHA05415_bin.315	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA738	s__UBA738 sp018065965	92.45	0.49	2426303
EHA05415_bin.163	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	98.07	0.18	2469648
EHA05415_bin.422	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__JAAYLN01	g__	s__	85.86	0.9	1631597
EHA05415_bin.297	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__ML635J-15	g__Bact-19	s__	77.83	1.17	1574589
EHA05415_bin.290	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__DUOU01	s__	87.54	1.08	1511855
EHA05415_bin.418	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__JALELF01	s__	59.71	0.28	1472385
EHA05415_bin.424	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__	56.07	4.23	1641505
EHA05415_bin.131	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__RGIG1711	s__	79.16	1.48	2164678
EHA05415_bin.268	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__RUG11130	s__	99.84	0.16	2338736
EHA05415_bin.284	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	75.33	0.27	1280584
EHA05415_bin.103	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	90.76	5.8	1829347
EHA05415_bin.260	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__SFTH01	s__	76.68	4.08	1751474
EHA05415_bin.139	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__	59.43	1.16	2007035
EHA05415_bin.461	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UMGS416	g__CALWDW01	s__	95.71	0.03	1825874
EHA05415_bin.426	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__Methanomethylophilus	s__	73.03	0.9	1424196
EHA05415_bin.214	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanocorpusculaceae	g__Methanocorpusculum	s__	84.82	0.23	2205512
EHA05415_bin.246	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__	93.35	0.13	2151579
EHA05415_bin.169	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	88.34	0.98	1474870
EHA05415_bin.307	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__UBA1234	g__	s__	81.76	5.27	1554044
EHA05415_bin.30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__F23-B02	s__	92.23	0.65	2271306
EHA05415_bin.267	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Anaerotardibacter	s__	99.63	1.05	2383450
EHA05415_bin.147	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-492	s__	75.8	0.46	1386298
EHA05415_bin.143	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS1696	s__	93.88	1.18	2561693
EHA05415_bin.364	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oxalobacter	s__	62.92	0.67	1287610
EHA05415_bin.273	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__UBA1784	s__	69.63	0.47	1914158
EHA05415_bin.160	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RUG806	s__	96.72	0.2	2795473
EHA05415_bin.191	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG12783	s__	81.49	1.24	1714900
EHA05415_bin.43	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__RUG472	s__	87.66	2.49	1075251
EHA05415_bin.78	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UBA1259	s__UBA1259 sp017501885	87.72	1.09	2508080
EHA05415_bin.324	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__QALR01	s__	72.05	3.3	908314
EHA05415_bin.141	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	79.12	4.02	1989852
EHA05415_bin.386	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Nanosyncoccaceae	g__Nanosyncoccus	s__	55.26	0.65	1221509
EHA05415_bin.329	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__JAKSVV01	g__JAKSVV01	s__	92.42	2.92	1833047
EHA05415_bin.215	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__HGM11417	g__	s__	96.35	0.24	1360418
EHA05415_bin.353	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA6984	s__UBA6984 sp934726055	73.1	0.96	1488344
EHA05415_bin.349	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__UBA1067	s__	100	2.34	1750145
EHA05415_bin.72	d__Bacteria	p__Planctomycetota	c__SZUA-567	o__SZUA-567	f__SZUA-567	g__SZUA-421	s__	97.81	0.29	1721253
EHA05415_bin.200	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__	54.91	0.76	1170583
EHA05415_bin.357	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_AI	s__	97.24	0.11	1491679
EHA05415_bin.166	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__	97.09	2.87	1539104
EHA05415_bin.157	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UBA11490	s__	82.63	2.51	1914116
EHA05415_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__Phil1	s__	80.64	0.04	1076752
EHA05415_bin.355	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__W0P28-013	s__	71.76	2.07	1349947
EHA05415_bin.325	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__QALR01	s__	89.96	0.07	2826865
EHA05415_bin.199	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CALZKI01	s__	67.8	0.87	2090264
EHA05415_bin.62	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__UBA1067	s__	66.55	7.79	1071485
EHA05415_bin.32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UBA1259	s__	94.28	1.86	1913774
EHA05415_bin.135	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__	84.66	5.26	2886907
EHA05415_bin.371	d__Bacteria	p__Bacillota_A	c__Clostridia	o__HGM11327	f__HGM11327	g__SIG351	s__	50.55	0.18	1437050
EHA05415_bin.365	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	50.52	2.97	938745
EHA05415_bin.68	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	90.3	0.21	1951991
EHA05415_bin.253	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA738	s__	77.44	0.1	1605395
EHA05415_bin.116	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__JAAYLN01	g__	s__	91.06	0.14	2197546
EHA05415_bin.44	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA1402	g__	s__	87.49	1.23	1327815
EHA05415_bin.24	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__UBA1067	s__	91.41	0.11	1648255
EHA05415_bin.174	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA5578	s__	89.47	0.08	698796
EHA05415_bin.277	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	92.8	0.95	2730331
EHA05415_bin.275	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__	s__	91.78	0.18	2286909
EHA05415_bin.97	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__SIG598	s__	84.53	1.99	1980492
EHA05415_bin.123	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__	71.71	2.97	1475153
EHA05415_bin.241	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Ventricola	s__	96.86	0.2	981830
EHA05415_bin.217	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__	s__	85.13	0.06	1517879
EHA05415_bin.216	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__SIG5	s__	95.99	5.86	2022450
EHA05415_bin.299	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__Enterocola	s__	86.7	3.77	1801007
EHA05415_bin.47	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	71.68	2.41	1759143
EHA05415_bin.337	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__UBA3637	g__	s__	99.63	0.03	3422889
EHA05415_bin.271	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__UBA1407	f__UBA1407	g__RGIG3456	s__	69.97	0.09	1544675
EHA05415_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__SIG598	s__	96.47	0.88	1854780
EHA05415_bin.197	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__	s__	55.56	3.72	1502326
EHA05415_bin.39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA8612	s__	51.25	3.15	1353142
EHA05415_bin.313	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WCHB1-69	g__	s__	74.11	1.11	807492
EHA05415_bin.441	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__	s__	64.77	2.14	1460947
EHA05415_bin.64	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	67.88	4.37	938815
