genome,completeness,contamination,location,length,N50
EHA05391_bin.32.fa.gz,96.5,0.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.32.fa.gz,1737242,3023
EHA05391_bin.467.fa.gz,81.46,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.467.fa.gz,3221178,165228
EHA05391_bin.405.fa.gz,70.3,2.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.405.fa.gz,1847449,29697
EHA05391_bin.237.fa.gz,95.36,0.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.237.fa.gz,2109202,2770
EHA05391_bin.604.fa.gz,68.95,1.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.604.fa.gz,671048,21801
EHA05391_bin.311.fa.gz,96.56,0.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.311.fa.gz,1574207,21113
EHA05391_bin.496.fa.gz,84.49,7.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.496.fa.gz,2251070,49527
EHA05391_bin.671.fa.gz,75.41,3.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.671.fa.gz,1045426,13424
EHA05391_bin.56.fa.gz,94.37,0.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.56.fa.gz,1344661,3980
EHA05391_bin.85.fa.gz,66.48,3.76,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.85.fa.gz,1673085,25774
EHA05391_bin.349.fa.gz,90.01,6.44,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.349.fa.gz,1877000,6660
EHA05391_bin.540.fa.gz,79.09,9.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.540.fa.gz,2433504,16837
EHA05391_bin.476.fa.gz,96.51,0.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.476.fa.gz,1759297,22281
EHA05391_bin.323.fa.gz,99.87,9.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.323.fa.gz,2904967,4993
EHA05391_bin.357.fa.gz,89.66,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.357.fa.gz,1784412,64325
EHA05391_bin.86.fa.gz,62.92,2.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.86.fa.gz,1469278,12212
EHA05391_bin.626.fa.gz,54.64,0.79,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.626.fa.gz,2058557,9952
EHA05391_bin.19.fa.gz,76.3,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.19.fa.gz,3135916,10391
EHA05391_bin.365.fa.gz,98.67,1.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.365.fa.gz,994111,15945
EHA05391_bin.38.fa.gz,100.0,3.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.38.fa.gz,2281015,11590
EHA05391_bin.572.fa.gz,90.76,3.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.572.fa.gz,2315498,243487
EHA05391_bin.541.fa.gz,91.88,5.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.541.fa.gz,2016969,30978
EHA05391_bin.105.fa.gz,96.35,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.105.fa.gz,1255403,63769
EHA05391_bin.154.fa.gz,97.49,1.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.154.fa.gz,954824,7313
EHA05391_bin.545.fa.gz,95.74,2.79,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.545.fa.gz,2083297,7594
EHA05391_bin.316.fa.gz,85.41,0.65,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.316.fa.gz,2712925,59999
EHA05391_bin.145.fa.gz,61.26,4.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.145.fa.gz,2621990,22718
EHA05391_bin.618.fa.gz,70.34,2.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.618.fa.gz,671684,3517
EHA05391_bin.466.fa.gz,76.98,0.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.466.fa.gz,1673167,7185
EHA05391_bin.257.fa.gz,95.27,2.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.257.fa.gz,868047,20149
EHA05391_bin.225.fa.gz,58.53,0.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.225.fa.gz,1386997,3315
EHA05391_bin.230.fa.gz,97.16,4.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.230.fa.gz,1315996,30847
EHA05391_bin.54.fa.gz,95.7,6.99,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.54.fa.gz,2415516,8687
EHA05391_bin.670.fa.gz,53.74,1.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.670.fa.gz,1629665,2844
EHA05391_bin.20.fa.gz,72.16,1.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.20.fa.gz,1226709,5059
EHA05391_bin.276.fa.gz,98.44,0.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.276.fa.gz,1020059,6878
EHA05391_bin.439.fa.gz,96.04,1.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.439.fa.gz,1646586,4629
EHA05391_bin.142.fa.gz,67.95,0.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.142.fa.gz,1478569,3986
EHA05391_bin.507.fa.gz,91.33,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.507.fa.gz,922311,25464
EHA05391_bin.696.fa.gz,54.01,5.62,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.696.fa.gz,654445,3671
EHA05391_bin.279.fa.gz,96.06,6.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.279.fa.gz,2416722,28318
EHA05391_bin.462.fa.gz,95.75,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.462.fa.gz,1462808,58337
EHA05391_bin.537.fa.gz,72.98,1.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.537.fa.gz,1325734,8766
EHA05391_bin.182.fa.gz,81.78,1.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.182.fa.gz,915887,49020
EHA05391_bin.422.fa.gz,57.28,3.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.422.fa.gz,1632954,12650
EHA05391_bin.223.fa.gz,98.78,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.223.fa.gz,2401044,23368
EHA05391_bin.639.fa.gz,73.1,1.44,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.639.fa.gz,1508239,3467
EHA05391_bin.388.fa.gz,95.44,0.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.388.fa.gz,1328304,14872
EHA05391_bin.470.fa.gz,59.62,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.470.fa.gz,1783631,35535
EHA05391_bin.206.fa.gz,95.34,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.206.fa.gz,1927604,36882
EHA05391_bin.28.fa.gz,75.53,3.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.28.fa.gz,2495872,4738
EHA05391_bin.245.fa.gz,75.01,2.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.245.fa.gz,1238334,4263
EHA05391_bin.324.fa.gz,63.91,0.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.324.fa.gz,1970096,5079
EHA05391_bin.98.fa.gz,99.49,3.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.98.fa.gz,1272917,3991
EHA05391_bin.133.fa.gz,98.21,1.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.133.fa.gz,2770540,22487
EHA05391_bin.345.fa.gz,100.0,0.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.345.fa.gz,922314,9448
EHA05391_bin.130.fa.gz,80.25,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.130.fa.gz,1649587,64896
EHA05391_bin.490.fa.gz,96.22,2.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.490.fa.gz,2129168,50678
EHA05391_bin.21.fa.gz,89.15,1.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.21.fa.gz,1057769,46211
EHA05391_bin.432.fa.gz,66.78,2.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.432.fa.gz,2042190,58791
EHA05391_bin.314.fa.gz,98.71,1.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.314.fa.gz,1657145,12491
EHA05391_bin.519.fa.gz,92.94,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.519.fa.gz,1062640,37505
EHA05391_bin.301.fa.gz,98.07,0.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.301.fa.gz,4062088,74291
EHA05391_bin.558.fa.gz,87.18,1.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.558.fa.gz,2555458,10564
EHA05391_bin.113.fa.gz,93.01,3.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.113.fa.gz,804730,12167
EHA05391_bin.78.fa.gz,50.9,8.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.78.fa.gz,1719238,7879
EHA05391_bin.160.fa.gz,83.34,9.53,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.160.fa.gz,1881954,43014
EHA05391_bin.353.fa.gz,56.49,1.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.353.fa.gz,2547041,27895
EHA05391_bin.531.fa.gz,78.51,0.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.531.fa.gz,1885902,3900
EHA05391_bin.115.fa.gz,96.75,5.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.115.fa.gz,1733370,92439
EHA05391_bin.294.fa.gz,98.61,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.294.fa.gz,2152040,28076
EHA05391_bin.650.fa.gz,56.27,7.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.650.fa.gz,2078234,3557
EHA05391_bin.205.fa.gz,94.57,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.205.fa.gz,1860445,17993
EHA05391_bin.322.fa.gz,80.25,4.65,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.322.fa.gz,2640487,3104
EHA05391_bin.243.fa.gz,96.22,0.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.243.fa.gz,1345282,3488
EHA05391_bin.620.fa.gz,92.15,4.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.620.fa.gz,742398,9640
EHA05391_bin.567.fa.gz,98.51,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.567.fa.gz,946980,105656
EHA05391_bin.60.fa.gz,80.9,1.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.60.fa.gz,3136798,6330
EHA05391_bin.25.fa.gz,70.73,3.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.25.fa.gz,2678492,58682
EHA05391_bin.676.fa.gz,65.38,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.676.fa.gz,858376,2499
EHA05391_bin.253.fa.gz,92.29,4.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.253.fa.gz,1787697,17170
EHA05391_bin.489.fa.gz,96.04,1.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.489.fa.gz,1858242,53536
EHA05391_bin.685.fa.gz,84.86,0.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.685.fa.gz,694733,2605
EHA05391_bin.100.fa.gz,94.25,2.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.100.fa.gz,2426811,25129
EHA05391_bin.48.fa.gz,96.14,0.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.48.fa.gz,1773691,5846
EHA05391_bin.77.fa.gz,91.87,0.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.77.fa.gz,2018535,30515
EHA05391_bin.79.fa.gz,96.63,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.79.fa.gz,1364261,4668
EHA05391_bin.299.fa.gz,91.69,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.299.fa.gz,1973000,15857
EHA05391_bin.380.fa.gz,93.62,2.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.380.fa.gz,2366756,99573
EHA05391_bin.165.fa.gz,60.88,0.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.165.fa.gz,1809190,10416
EHA05391_bin.381.fa.gz,88.01,2.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.381.fa.gz,1953672,55997
EHA05391_bin.309.fa.gz,91.25,1.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.309.fa.gz,1842032,5303
EHA05391_bin.63.fa.gz,53.42,2.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.63.fa.gz,1921075,3241
EHA05391_bin.700.fa.gz,50.79,2.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.700.fa.gz,1452533,2995
EHA05391_bin.65.fa.gz,78.92,2.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.65.fa.gz,2958186,2908
EHA05391_bin.326.fa.gz,80.06,6.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.326.fa.gz,1371740,21925
EHA05391_bin.468.fa.gz,98.01,0.78,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.468.fa.gz,1452824,6198
EHA05391_bin.62.fa.gz,51.63,3.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.62.fa.gz,2871803,41262
EHA05391_bin.515.fa.gz,72.76,2.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.515.fa.gz,1009353,3436
EHA05391_bin.95.fa.gz,83.41,0.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.95.fa.gz,2240518,41748
EHA05391_bin.617.fa.gz,90.15,0.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.617.fa.gz,1082748,2601
EHA05391_bin.697.fa.gz,59.17,1.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.697.fa.gz,1194834,3048
EHA05391_bin.595.fa.gz,75.61,0.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.595.fa.gz,2015090,12141
EHA05391_bin.415.fa.gz,95.28,2.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.415.fa.gz,929033,35127
EHA05391_bin.246.fa.gz,52.18,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.246.fa.gz,1805449,84335
EHA05391_bin.252.fa.gz,93.98,1.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.252.fa.gz,1796409,11172
EHA05391_bin.187.fa.gz,96.27,3.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.187.fa.gz,1786620,26321
EHA05391_bin.260.fa.gz,92.31,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.260.fa.gz,2978861,109139
EHA05391_bin.502.fa.gz,86.71,0.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.502.fa.gz,978068,125333
EHA05391_bin.406.fa.gz,92.82,0.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.406.fa.gz,2324365,73405
EHA05391_bin.387.fa.gz,98.09,1.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.387.fa.gz,1456633,16483
EHA05391_bin.402.fa.gz,94.28,0.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.402.fa.gz,1632151,24088
EHA05391_bin.583.fa.gz,98.67,0.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.583.fa.gz,1177518,26687
EHA05391_bin.330.fa.gz,92.06,3.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.330.fa.gz,1475814,7817
EHA05391_bin.305.fa.gz,82.89,1.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.305.fa.gz,1997916,16092
EHA05391_bin.539.fa.gz,84.43,1.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.539.fa.gz,2025084,32760
EHA05391_bin.399.fa.gz,78.86,2.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.399.fa.gz,2255454,43597
EHA05391_bin.649.fa.gz,62.09,1.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.649.fa.gz,917799,3686
EHA05391_bin.478.fa.gz,98.76,5.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.478.fa.gz,1613704,6566
EHA05391_bin.645.fa.gz,68.06,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.645.fa.gz,1134389,4039
EHA05391_bin.199.fa.gz,82.21,1.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.199.fa.gz,1109056,14636
EHA05391_bin.414.fa.gz,83.09,2.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.414.fa.gz,1357545,37549
EHA05391_bin.202.fa.gz,78.59,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.202.fa.gz,1671939,102046
EHA05391_bin.167.fa.gz,98.41,0.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.167.fa.gz,2680774,6542
EHA05391_bin.280.fa.gz,70.66,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.280.fa.gz,1933094,15032
EHA05391_bin.589.fa.gz,72.04,2.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.589.fa.gz,1876451,12445
EHA05391_bin.680.fa.gz,76.81,5.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.680.fa.gz,1184352,2419
EHA05391_bin.144.fa.gz,82.0,8.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.144.fa.gz,2249708,27576
EHA05391_bin.687.fa.gz,72.05,3.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.687.fa.gz,972168,2703
EHA05391_bin.161.fa.gz,97.75,1.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.161.fa.gz,1496706,19584
EHA05391_bin.425.fa.gz,96.49,0.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.425.fa.gz,1428870,25157
EHA05391_bin.207.fa.gz,89.08,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.207.fa.gz,1913240,5026
EHA05391_bin.481.fa.gz,87.64,3.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.481.fa.gz,1810667,40153
EHA05391_bin.433.fa.gz,94.86,1.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.433.fa.gz,1883099,104439
EHA05391_bin.609.fa.gz,90.48,2.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.609.fa.gz,797520,5514
EHA05391_bin.320.fa.gz,96.69,0.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.320.fa.gz,4080224,26610
EHA05391_bin.146.fa.gz,97.32,5.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.146.fa.gz,1780740,11480
EHA05391_bin.109.fa.gz,97.54,2.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.109.fa.gz,2126297,10443
EHA05391_bin.285.fa.gz,97.79,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.285.fa.gz,1612119,32110
EHA05391_bin.608.fa.gz,99.95,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.608.fa.gz,935326,4331
EHA05391_bin.523.fa.gz,100.0,3.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.523.fa.gz,970045,72295
EHA05391_bin.411.fa.gz,97.05,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.411.fa.gz,1777036,28512
EHA05391_bin.255.fa.gz,84.8,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.255.fa.gz,1747454,55206
EHA05391_bin.259.fa.gz,79.78,1.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.259.fa.gz,1131939,54607
EHA05391_bin.548.fa.gz,87.15,2.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.548.fa.gz,2480968,30975
EHA05391_bin.101.fa.gz,83.81,0.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.101.fa.gz,1342825,4186
EHA05391_bin.423.fa.gz,99.87,0.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.423.fa.gz,1489648,3465
EHA05391_bin.428.fa.gz,59.74,6.44,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.428.fa.gz,1378451,3957
EHA05391_bin.22.fa.gz,93.25,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.22.fa.gz,1451735,50086
EHA05391_bin.569.fa.gz,91.73,0.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.569.fa.gz,2174388,19649
EHA05391_bin.642.fa.gz,71.69,3.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.642.fa.gz,1121586,3502
EHA05391_bin.317.fa.gz,71.88,1.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.317.fa.gz,1405266,69479
EHA05391_bin.688.fa.gz,78.04,5.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.688.fa.gz,1716077,2899
EHA05391_bin.227.fa.gz,80.27,0.84,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.227.fa.gz,2716922,9869
EHA05391_bin.125.fa.gz,99.66,1.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.125.fa.gz,890271,97691
EHA05391_bin.601.fa.gz,53.36,0.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.601.fa.gz,1238181,12028
EHA05391_bin.394.fa.gz,57.47,1.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.394.fa.gz,1378818,9811
EHA05391_bin.173.fa.gz,80.25,0.62,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.173.fa.gz,1230502,17822
EHA05391_bin.686.fa.gz,59.63,4.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.686.fa.gz,1166362,2593
EHA05391_bin.485.fa.gz,89.94,4.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.485.fa.gz,1756531,55514
EHA05391_bin.624.fa.gz,58.35,6.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.624.fa.gz,1922458,4022
EHA05391_bin.254.fa.gz,96.46,4.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.254.fa.gz,1674800,26227
EHA05391_bin.602.fa.gz,87.8,3.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.602.fa.gz,969484,2950
EHA05391_bin.653.fa.gz,52.21,0.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.653.fa.gz,876800,3126
EHA05391_bin.108.fa.gz,99.32,4.33,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.108.fa.gz,2780758,55467
EHA05391_bin.421.fa.gz,79.46,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.421.fa.gz,2525334,31357
EHA05391_bin.50.fa.gz,90.86,0.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.50.fa.gz,1865200,33029
EHA05391_bin.434.fa.gz,95.15,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.434.fa.gz,2803349,56651
EHA05391_bin.181.fa.gz,65.38,0.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.181.fa.gz,1151633,30280
EHA05391_bin.11.fa.gz,61.2,1.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.11.fa.gz,1432670,6042
EHA05391_bin.535.fa.gz,92.56,3.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.535.fa.gz,1154581,27924
EHA05391_bin.213.fa.gz,93.22,1.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.213.fa.gz,2148699,11944
EHA05391_bin.366.fa.gz,85.61,2.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.366.fa.gz,1717546,31146
EHA05391_bin.441.fa.gz,80.96,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.441.fa.gz,2118116,39168
EHA05391_bin.190.fa.gz,99.77,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.190.fa.gz,1170828,43356
