genome,completeness,contamination,location,length,N50,centrality
EHA05391_bin.271.fa.gz,96.57,2.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.271.fa.gz,1478641.0,125577.0,0.0
EHA05391_bin.565.fa.gz,98.47,0.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.565.fa.gz,2342346.0,28143.0,0.0
EHA05391_bin.228.fa.gz,55.02,5.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.228.fa.gz,,,0.0
EHA05391_bin.542.fa.gz,74.07,0.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.542.fa.gz,2115327.0,6746.0,0.0
EHA05391_bin.59.fa.gz,94.57,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.59.fa.gz,2676705.0,4912.0,0.0
EHA05391_bin.156.fa.gz,82.94,3.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.156.fa.gz,2591680.0,15829.0,0.0
EHA05391_bin.224.fa.gz,97.02,1.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.224.fa.gz,1934986.0,17861.0,0.0
EHA05391_bin.499.fa.gz,95.1,0.33,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.499.fa.gz,1482151.0,3253.0,0.0
EHA05391_bin.158.fa.gz,96.97,6.73,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.158.fa.gz,2221919.0,23234.0,0.0
EHA05391_bin.112.fa.gz,77.56,2.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.112.fa.gz,2545221.0,11665.0,0.0
EHA05391_bin.140.fa.gz,84.23,0.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.140.fa.gz,985054.0,3073.0,0.0
EHA05391_bin.84.fa.gz,94.15,0.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.84.fa.gz,1687933.0,2218.0,0.0
EHA05391_bin.122.fa.gz,98.01,0.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.122.fa.gz,1309964.0,17072.0,0.0
EHA05391_bin.319.fa.gz,99.38,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.319.fa.gz,1474821.0,4819.0,0.0
EHA05391_bin.51.fa.gz,95.25,1.62,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.51.fa.gz,2293397.0,35373.0,0.0
EHA05391_bin.625.fa.gz,60.54,8.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.625.fa.gz,,,0.0
EHA05391_bin.471.fa.gz,93.72,0.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.471.fa.gz,2152632.0,39279.0,0.0
EHA05391_bin.659.fa.gz,53.98,7.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.659.fa.gz,,,0.0
EHA05391_bin.244.fa.gz,78.28,1.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.244.fa.gz,1642211.0,5165.0,0.0
EHA05391_bin.211.fa.gz,90.1,3.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.211.fa.gz,2223583.0,127543.0,0.0
EHA05391_bin.577.fa.gz,99.7,1.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.577.fa.gz,2381006.0,27044.0,0.0
EHA05391_bin.460.fa.gz,69.51,4.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.460.fa.gz,,,0.0
EHA05391_bin.566.fa.gz,72.11,0.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.566.fa.gz,1698014.0,7546.0,0.0
EHA05391_bin.341.fa.gz,98.82,1.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.341.fa.gz,1482677.0,29092.0,0.0
EHA05391_bin.147.fa.gz,93.01,1.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.147.fa.gz,2335422.0,16100.0,0.988879
EHA05391_bin.166.fa.gz,81.78,1.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.166.fa.gz,1741523.0,44473.0,0.0
EHA05391_bin.131.fa.gz,88.7,1.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.131.fa.gz,2096654.0,78207.0,0.0
EHA05391_bin.629.fa.gz,57.78,0.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.629.fa.gz,,,0.0
EHA05391_bin.493.fa.gz,97.26,4.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.493.fa.gz,1878818.0,11816.0,0.0
EHA05391_bin.513.fa.gz,83.51,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.513.fa.gz,2105159.0,44417.0,0.0
EHA05391_bin.219.fa.gz,98.82,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.219.fa.gz,1125178.0,9296.0,0.98556
EHA05391_bin.277.fa.gz,83.99,7.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.277.fa.gz,889884.0,5630.0,0.0
EHA05391_bin.510.fa.gz,85.89,1.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.510.fa.gz,1462887.0,4812.0,0.0
EHA05391_bin.521.fa.gz,55.53,0.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.521.fa.gz,,,0.0
EHA05391_bin.584.fa.gz,98.55,1.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.584.fa.gz,807430.0,20413.0,0.0
EHA05391_bin.32.fa.gz,96.5,0.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.32.fa.gz,1737242.0,3023.0,0.0
EHA05391_bin.467.fa.gz,81.46,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.467.fa.gz,3221178.0,165228.0,0.0
EHA05391_bin.405.fa.gz,70.3,2.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.405.fa.gz,1847449.0,29697.0,0.0
EHA05391_bin.237.fa.gz,95.36,0.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.237.fa.gz,2109202.0,2770.0,0.0
EHA05391_bin.604.fa.gz,68.95,1.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.604.fa.gz,,,0.0
EHA05391_bin.311.fa.gz,96.56,0.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.311.fa.gz,1574207.0,21113.0,0.0
EHA05391_bin.496.fa.gz,84.49,7.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.496.fa.gz,2251070.0,49527.0,0.0
EHA05391_bin.671.fa.gz,75.41,3.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.671.fa.gz,1045426.0,13424.0,0.0
EHA05391_bin.56.fa.gz,94.37,0.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.56.fa.gz,1344661.0,3980.0,0.0
EHA05391_bin.85.fa.gz,66.48,3.76,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.85.fa.gz,,,0.0
EHA05391_bin.349.fa.gz,90.01,6.44,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.349.fa.gz,1877000.0,6660.0,0.0
EHA05391_bin.540.fa.gz,79.09,9.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.540.fa.gz,2433504.0,16837.0,0.0
EHA05391_bin.476.fa.gz,96.51,0.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.476.fa.gz,1759297.0,22281.0,0.0
EHA05391_bin.323.fa.gz,99.87,9.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.323.fa.gz,2904967.0,4993.0,0.0
EHA05391_bin.357.fa.gz,89.66,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.357.fa.gz,1784412.0,64325.0,0.0
EHA05391_bin.86.fa.gz,62.92,2.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.86.fa.gz,,,0.0
EHA05391_bin.626.fa.gz,54.64,0.79,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.626.fa.gz,,,0.0
EHA05391_bin.19.fa.gz,76.3,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.19.fa.gz,3135916.0,10391.0,0.0
EHA05391_bin.365.fa.gz,98.67,1.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.365.fa.gz,994111.0,15945.0,0.0
EHA05391_bin.38.fa.gz,100.0,3.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.38.fa.gz,2281015.0,11590.0,0.0
EHA05391_bin.572.fa.gz,90.76,3.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.572.fa.gz,2315498.0,243487.0,0.982867
EHA05391_bin.541.fa.gz,91.88,5.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.541.fa.gz,2016969.0,30978.0,0.0
EHA05391_bin.105.fa.gz,96.35,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.105.fa.gz,1255403.0,63769.0,0.0
EHA05391_bin.154.fa.gz,97.49,1.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.154.fa.gz,954824.0,7313.0,0.9920049999999999
EHA05391_bin.545.fa.gz,95.74,2.79,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.545.fa.gz,2083297.0,7594.0,0.0
EHA05391_bin.316.fa.gz,85.41,0.65,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.316.fa.gz,2712925.0,59999.0,0.0
EHA05391_bin.145.fa.gz,61.26,4.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.145.fa.gz,,,0.0
EHA05391_bin.618.fa.gz,70.34,2.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.618.fa.gz,671684.0,3517.0,0.0
EHA05391_bin.466.fa.gz,76.98,0.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.466.fa.gz,1673167.0,7185.0,0.0
EHA05391_bin.257.fa.gz,95.27,2.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.257.fa.gz,868047.0,20149.0,0.99826
EHA05391_bin.225.fa.gz,58.53,0.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.225.fa.gz,,,0.0
EHA05391_bin.230.fa.gz,97.16,4.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.230.fa.gz,1315996.0,30847.0,0.0
EHA05391_bin.54.fa.gz,95.7,6.99,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.54.fa.gz,2415516.0,8687.0,0.0
EHA05391_bin.670.fa.gz,53.74,1.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.670.fa.gz,,,0.0
EHA05391_bin.20.fa.gz,72.16,1.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.20.fa.gz,1226709.0,5059.0,0.0
EHA05391_bin.276.fa.gz,98.44,0.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.276.fa.gz,1020059.0,6878.0,0.0
EHA05391_bin.439.fa.gz,96.04,1.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.439.fa.gz,1646586.0,4629.0,0.0
EHA05391_bin.142.fa.gz,67.95,0.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.142.fa.gz,,,0.0
EHA05391_bin.507.fa.gz,91.33,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.507.fa.gz,922311.0,25464.0,0.0
EHA05391_bin.696.fa.gz,54.01,5.62,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.696.fa.gz,,,0.0
EHA05391_bin.279.fa.gz,96.06,6.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.279.fa.gz,2416722.0,28318.0,0.0
EHA05391_bin.462.fa.gz,95.75,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.462.fa.gz,1462808.0,58337.0,0.0
EHA05391_bin.537.fa.gz,72.98,1.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.537.fa.gz,1325734.0,8766.0,0.0
EHA05391_bin.182.fa.gz,81.78,1.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.182.fa.gz,915887.0,49020.0,0.0
EHA05391_bin.422.fa.gz,57.28,3.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.422.fa.gz,,,0.0
EHA05391_bin.223.fa.gz,98.78,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.223.fa.gz,2401044.0,23368.0,0.0
EHA05391_bin.639.fa.gz,73.1,1.44,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.639.fa.gz,1508239.0,3467.0,0.0
EHA05391_bin.388.fa.gz,95.44,0.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.388.fa.gz,1328304.0,14872.0,0.0
EHA05391_bin.470.fa.gz,59.62,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.470.fa.gz,,,0.0
EHA05391_bin.206.fa.gz,95.34,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.206.fa.gz,1927604.0,36882.0,0.995133
EHA05391_bin.28.fa.gz,75.53,3.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.28.fa.gz,2495872.0,4738.0,0.0
EHA05391_bin.245.fa.gz,75.01,2.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.245.fa.gz,1238334.0,4263.0,0.0
EHA05391_bin.324.fa.gz,63.91,0.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.324.fa.gz,,,0.0
EHA05391_bin.98.fa.gz,99.49,3.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.98.fa.gz,1272917.0,3991.0,0.0
EHA05391_bin.133.fa.gz,98.21,1.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.133.fa.gz,2770540.0,22487.0,0.0
EHA05391_bin.345.fa.gz,100.0,0.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.345.fa.gz,922314.0,9448.0,0.0
EHA05391_bin.130.fa.gz,80.25,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.130.fa.gz,1649587.0,64896.0,0.0
EHA05391_bin.490.fa.gz,96.22,2.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.490.fa.gz,2129168.0,50678.0,0.0
EHA05391_bin.21.fa.gz,89.15,1.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.21.fa.gz,1057769.0,46211.0,0.0
EHA05391_bin.432.fa.gz,66.78,2.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.432.fa.gz,,,0.0
EHA05391_bin.314.fa.gz,98.71,1.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.314.fa.gz,1657145.0,12491.0,0.0
EHA05391_bin.519.fa.gz,92.94,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.519.fa.gz,1062640.0,37505.0,0.0
EHA05391_bin.301.fa.gz,98.07,0.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.301.fa.gz,4062088.0,74291.0,0.0
EHA05391_bin.558.fa.gz,87.18,1.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.558.fa.gz,2555458.0,10564.0,0.0
EHA05391_bin.113.fa.gz,93.01,3.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.113.fa.gz,804730.0,12167.0,0.0
EHA05391_bin.78.fa.gz,50.9,8.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.78.fa.gz,,,0.0
EHA05391_bin.160.fa.gz,83.34,9.53,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.160.fa.gz,1881954.0,43014.0,0.0
EHA05391_bin.353.fa.gz,56.49,1.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.353.fa.gz,,,0.0
EHA05391_bin.531.fa.gz,78.51,0.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.531.fa.gz,1885902.0,3900.0,0.0
EHA05391_bin.115.fa.gz,96.75,5.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.115.fa.gz,1733370.0,92439.0,0.0
EHA05391_bin.294.fa.gz,98.61,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.294.fa.gz,2152040.0,28076.0,0.0
EHA05391_bin.650.fa.gz,56.27,7.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.650.fa.gz,,,0.0
EHA05391_bin.205.fa.gz,94.57,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.205.fa.gz,1860445.0,17993.0,0.0
EHA05391_bin.322.fa.gz,80.25,4.65,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.322.fa.gz,2640487.0,3104.0,0.0
EHA05391_bin.243.fa.gz,96.22,0.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.243.fa.gz,1345282.0,3488.0,0.0
EHA05391_bin.620.fa.gz,92.15,4.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.620.fa.gz,742398.0,9640.0,0.0
EHA05391_bin.567.fa.gz,98.51,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.567.fa.gz,946980.0,105656.0,0.0
EHA05391_bin.60.fa.gz,80.9,1.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.60.fa.gz,3136798.0,6330.0,0.985359
EHA05391_bin.25.fa.gz,70.73,3.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.25.fa.gz,2678492.0,58682.0,0.0
EHA05391_bin.676.fa.gz,65.38,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.676.fa.gz,,,0.0
EHA05391_bin.253.fa.gz,92.29,4.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.253.fa.gz,1787697.0,17170.0,0.0
EHA05391_bin.489.fa.gz,96.04,1.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.489.fa.gz,1858242.0,53536.0,0.0
EHA05391_bin.685.fa.gz,84.86,0.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.685.fa.gz,694733.0,2605.0,0.0
EHA05391_bin.100.fa.gz,94.25,2.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.100.fa.gz,2426811.0,25129.0,0.0
EHA05391_bin.48.fa.gz,96.14,0.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.48.fa.gz,1773691.0,5846.0,0.0
EHA05391_bin.77.fa.gz,91.87,0.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.77.fa.gz,2018535.0,30515.0,0.0
EHA05391_bin.79.fa.gz,96.63,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.79.fa.gz,1364261.0,4668.0,0.0
EHA05391_bin.299.fa.gz,91.69,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.299.fa.gz,1973000.0,15857.0,0.0
EHA05391_bin.380.fa.gz,93.62,2.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.380.fa.gz,2366756.0,99573.0,0.0
EHA05391_bin.165.fa.gz,60.88,0.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.165.fa.gz,,,0.0
EHA05391_bin.381.fa.gz,88.01,2.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.381.fa.gz,1953672.0,55997.0,0.0
EHA05391_bin.309.fa.gz,91.25,1.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.309.fa.gz,1842032.0,5303.0,0.0
EHA05391_bin.63.fa.gz,53.42,2.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.63.fa.gz,,,0.0
EHA05391_bin.700.fa.gz,50.79,2.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.700.fa.gz,,,0.0
EHA05391_bin.65.fa.gz,78.92,2.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.65.fa.gz,2958186.0,2908.0,0.0
EHA05391_bin.326.fa.gz,80.06,6.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.326.fa.gz,1371740.0,21925.0,0.0
EHA05391_bin.468.fa.gz,98.01,0.78,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.468.fa.gz,1452824.0,6198.0,0.0
EHA05391_bin.62.fa.gz,51.63,3.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.62.fa.gz,,,0.0
EHA05391_bin.515.fa.gz,72.76,2.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.515.fa.gz,1009353.0,3436.0,0.0
EHA05391_bin.95.fa.gz,83.41,0.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.95.fa.gz,2240518.0,41748.0,0.0
EHA05391_bin.617.fa.gz,90.15,0.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.617.fa.gz,1082748.0,2601.0,0.0
EHA05391_bin.697.fa.gz,59.17,1.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.697.fa.gz,,,0.0
EHA05391_bin.595.fa.gz,75.61,0.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.595.fa.gz,2015090.0,12141.0,0.0
EHA05391_bin.415.fa.gz,95.28,2.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.415.fa.gz,929033.0,35127.0,0.0
EHA05391_bin.246.fa.gz,52.18,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.246.fa.gz,,,0.0
EHA05391_bin.252.fa.gz,93.98,1.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.252.fa.gz,1796409.0,11172.0,0.0
EHA05391_bin.187.fa.gz,96.27,3.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.187.fa.gz,1786620.0,26321.0,0.0
EHA05391_bin.260.fa.gz,92.31,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.260.fa.gz,2978861.0,109139.0,0.0
EHA05391_bin.502.fa.gz,86.71,0.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.502.fa.gz,978068.0,125333.0,0.0
EHA05391_bin.406.fa.gz,92.82,0.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.406.fa.gz,2324365.0,73405.0,0.0
EHA05391_bin.387.fa.gz,98.09,1.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.387.fa.gz,1456633.0,16483.0,0.0
EHA05391_bin.402.fa.gz,94.28,0.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.402.fa.gz,1632151.0,24088.0,0.0
EHA05391_bin.583.fa.gz,98.67,0.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.583.fa.gz,1177518.0,26687.0,0.0
EHA05391_bin.330.fa.gz,92.06,3.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.330.fa.gz,1475814.0,7817.0,0.0
EHA05391_bin.305.fa.gz,82.89,1.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.305.fa.gz,1997916.0,16092.0,0.0
EHA05391_bin.539.fa.gz,84.43,1.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.539.fa.gz,2025084.0,32760.0,0.0
EHA05391_bin.399.fa.gz,78.86,2.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.399.fa.gz,2255454.0,43597.0,0.995053
EHA05391_bin.649.fa.gz,62.09,1.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.649.fa.gz,,,0.0
EHA05391_bin.478.fa.gz,98.76,5.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.478.fa.gz,1613704.0,6566.0,0.0
EHA05391_bin.645.fa.gz,68.06,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.645.fa.gz,,,0.0
EHA05391_bin.199.fa.gz,82.21,1.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.199.fa.gz,1109056.0,14636.0,0.9872850000000001
EHA05391_bin.414.fa.gz,83.09,2.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.414.fa.gz,1357545.0,37549.0,0.0
EHA05391_bin.202.fa.gz,78.59,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.202.fa.gz,1671939.0,102046.0,0.0
EHA05391_bin.167.fa.gz,98.41,0.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.167.fa.gz,2680774.0,6542.0,0.0
EHA05391_bin.280.fa.gz,70.66,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.280.fa.gz,1933094.0,15032.0,0.0
EHA05391_bin.589.fa.gz,72.04,2.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.589.fa.gz,1876451.0,12445.0,0.9898030000000001
